CLAVE,LONGITUD,LATITUD,ORGANISMO_DE_CUENCA,SUBTIPO,GRUPO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_FIS_SUP_15_UT,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_COLI_FEC,CALIDAD_E_COLI,CALIDAD_ENTEROC,CALIDAD_OD_PORC,CALIDAD_OD_PORC_SUP,CALIDAD_OD_PORC_MED,CALIDAD_OD_PORC_FON,CALIDAD_TOX_D_48,CALIDAD_TOX_V_15,CALIDAD TOX_D_48_SUP,CALIDAD_TOX_FIS_SUP_15,SEMAFORO
DLHID6462,-99.35816,20.12629,0.0,22.0,1.0,1.0019224350844402,1.0754259353102555,1.0172928100550949,1.0000844726502303,1.0000844726502303,1.0,1.0,1.9512719455392329,2.462225832656377,2.038207200587803,1.0,1.0,1.0,1.0,1,3,2,3,2,0,0,3,4,4,0,0,1,1,2
DLHID6464,-99.36493,20.1451,0.0,22.0,1.0,1.0326813964354848,1.0906495185838851,1.0172928100550949,1.0001030707678502,1.0001030707678502,1.0,1.0,1.7158724471515585,2.1039805036555648,1.6745040411462162,1.0,1.0,1.0,1.0,3,3,2,3,2,0,0,3,4,4,0,0,1,1,2
DLHID6466,-99.3606,20.15304,0.0,22.0,1.0,1.013457045591082,1.0906495185838851,1.0172928100550949,1.0001588651207103,1.0001588651207103,1.0,1.0,2.064134718738803,2.593826157595451,1.145481263776635,1.0,1.0,1.0,1.0,2,3,2,3,2,0,0,3,3,4,0,0,1,1,2
DLMIC1521,-102.13606,17.96756,1.0,24.0,2.0,1.0,1.0254774844042147,1.0,1.000013799803274,1.0,1.0,3.456059204440333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,1,1,0,2,0,0,0,1,1,0,0,1
DLMIC1524,-102.1567,17.92445,1.0,13.0,0.0,1.0,1.0,1.0010127281026742,1.0,1.0,1.006361317896425,1.0,4.176280902902185,1.0,6.131520940484938,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1
DLMIC1526W1,-102.17419,17.93068,1.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.006361317896425,1.0,3.434611250447868,6.088545897644192,4.623806024981632,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,1
DLMIC1527,-102.18146,17.93168,1.0,7.0,0.0,1.0,1.0,1.004490398191102,1.0,1.0,1.0,1.0,3.747402364743819,5.7010560519902524,6.581190301249082,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1
DLMIC1528,-102.18831,17.95416,1.0,24.0,0.0,1.0,1.0,1.0,1.0001276202831086,1.0000398371679422,1.0,2.823311748381129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3,1,0,2,0,0,0,1,1,0,0,1
DLMIC1529,-102.18921,17.94963,1.0,8.0,0.0,1.0,1.0088699390148006,1.0,1.0000398371679422,1.000002640932702,1.0,3.4976873265494914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,2,1,0,2,0,0,0,1,1,0,0,1
DLMIC1530,-102.17565,17.99201,1.0,24.0,2.0,1.0,1.0,1.0,1.0006126591906395,1.0,1.0,4.386031452358926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,4,1,0,1,0,0,0,1,1,0,0,2
DLMIC1531,-102.19268,17.91785,1.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0476540831890084,1.0,3.699032604801146,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1
DLMIC1532,-102.16199,17.92083,1.0,13.0,0.0,1.0,1.0,1.0061336928482714,1.0,1.0,1.0472820762944808,1.0,3.4442852024364026,6.154346060113729,4.260102865540045,1.0,1.0,1.0,1.0,0,0,1,0,0,2,0,1,1,2,0,0,0,1,1
DLMIC1534,-102.18741,17.94129,1.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5768541741311353,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1
DLMIC1542W1,-102.29307,17.96622,1.0,15.0,0.0,1.04986316000267,1.2236356964369965,1.004108236642923,1.0089989223878688,1.0001834146359687,1.0,1.0,1.9899677534933713,1.0,1.0,1.0,1.0,1.0,1.0,3,4,1,5,2,0,0,3,0,0,0,0,1,1,3
DLAGU11,-102.35794,22.12123,6.0,22.0,1.0,1.0,1.0431859087493665,1.0,1.000006360556226,1.000002640932702,1.0,1.0,4.234324614833392,4.68480909829407,2.349008082292432,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,2,2,3,0,0,1,1,1
DLAGU12,-102.37846,22.1358,6.0,22.0,1.0,1.0,1.0299124539116151,1.0,1.0000104521421025,1.0,1.0,1.0,3.750627015406664,3.610073111291633,1.6877296105804556,1.0,1.0,1.0,1.0,1,2,1,1,1,0,0,1,3,4,0,0,1,1,2
DLAGU13,-102.41856,22.14165,6.0,22.0,1.0,1.0,1.0617750362591085,1.0,1.0000223549373792,1.0,1.0,1.0,2.5962020781082047,3.4638505280259952,1.9522409992652463,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,2,3,4,0,0,1,1,2
DLAGU14,-102.4263,22.15254,6.0,22.0,1.0,1.0,1.064574414175127,1.0,1.0000104521421025,1.0,1.0,1.0,2.81225367251881,3.588139723801787,2.5011021307861867,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,2,3,3,0,0,1,1,1
DLAGU15,-102.44221,22.13077,6.0,22.0,1.0,1.0,1.0878501406678664,1.0,1.000026818485608,1.000006360556226,1.0,1.0,2.9476890003582943,3.668562144597888,1.8927259368111682,1.0,1.0,1.0,1.0,1,3,1,1,1,0,0,1,3,4,0,0,1,1,2
